Assigning IP addresses in subnet 10.1.1.0/24 to link between server and client 1
Assigning IP addresses in subnet 10.1.2.0/24 to link between server and client 2
Assigning IP addresses in subnet 10.1.3.0/24 to link between server and client 3
Assigning IP addresses in subnet 10.1.4.0/24 to link between server and client 4
Assigning IP addresses in subnet 10.1.5.0/24 to link between server and client 5
All clients will connect to server at 10.1.1.1 on port 15
At time +2.08796s client sent 1024 bytes to 10.1.1.1 port 15
At time +2.09165s server received 1024 bytes from 10.1.3.2 port 49153
At time +2.09165s server sent 1024 bytes to 10.1.3.2 port 49153
At time +2.09533s client received 1024 bytes from 10.1.3.1 port 15
At time +2.15532s client sent 1024 bytes to 10.1.1.1 port 15
At time +2.15901s server received 1024 bytes from 10.1.5.2 port 49153
At time +2.15901s server sent 1024 bytes to 10.1.5.2 port 49153
At time +2.16269s client received 1024 bytes from 10.1.5.1 port 15
At time +2.3015s client sent 1024 bytes to 10.1.1.1 port 15
At time +2.30519s server received 1024 bytes from 10.1.1.2 port 49153
At time +2.30519s server sent 1024 bytes to 10.1.1.2 port 49153
At time +2.30887s client received 1024 bytes from 10.1.1.1 port 15
At time +2.32038s client sent 1024 bytes to 10.1.1.1 port 15
At time +2.32406s server received 1024 bytes from 10.1.4.2 port 49153
At time +2.32406s server sent 1024 bytes to 10.1.4.2 port 49153
At time +2.32775s client received 1024 bytes from 10.1.4.1 port 15
At time +2.43883s client sent 1024 bytes to 10.1.1.1 port 15
At time +2.44251s server received 1024 bytes from 10.1.2.2 port 49153
At time +2.44251s server sent 1024 bytes to 10.1.2.2 port 49153
At time +2.4462s client received 1024 bytes from 10.1.2.1 port 15
At time +3.08796s client sent 1024 bytes to 10.1.1.1 port 15
At time +3.09165s server received 1024 bytes from 10.1.3.2 port 49153
At time +3.09165s server sent 1024 bytes to 10.1.3.2 port 49153
At time +3.09533s client received 1024 bytes from 10.1.3.1 port 15
At time +3.15532s client sent 1024 bytes to 10.1.1.1 port 15
At time +3.15901s server received 1024 bytes from 10.1.5.2 port 49153
At time +3.15901s server sent 1024 bytes to 10.1.5.2 port 49153
At time +3.16269s client received 1024 bytes from 10.1.5.1 port 15
At time +3.3015s client sent 1024 bytes to 10.1.1.1 port 15
At time +3.30519s server received 1024 bytes from 10.1.1.2 port 49153
At time +3.30519s server sent 1024 bytes to 10.1.1.2 port 49153
At time +3.30887s client received 1024 bytes from 10.1.1.1 port 15
At time +3.32038s client sent 1024 bytes to 10.1.1.1 port 15
At time +3.32406s server received 1024 bytes from 10.1.4.2 port 49153
At time +3.32406s server sent 1024 bytes to 10.1.4.2 port 49153
At time +3.32775s client received 1024 bytes from 10.1.4.1 port 15
At time +3.43883s client sent 1024 bytes to 10.1.1.1 port 15
At time +3.44251s server received 1024 bytes from 10.1.2.2 port 49153
At time +3.44251s server sent 1024 bytes to 10.1.2.2 port 49153
At time +3.4462s client received 1024 bytes from 10.1.2.1 port 15
At time +4.08796s client sent 1024 bytes to 10.1.1.1 port 15
At time +4.09165s server received 1024 bytes from 10.1.3.2 port 49153
At time +4.09165s server sent 1024 bytes to 10.1.3.2 port 49153
At time +4.09533s client received 1024 bytes from 10.1.3.1 port 15
At time +4.15532s client sent 1024 bytes to 10.1.1.1 port 15
At time +4.15901s server received 1024 bytes from 10.1.5.2 port 49153
At time +4.15901s server sent 1024 bytes to 10.1.5.2 port 49153
At time +4.16269s client received 1024 bytes from 10.1.5.1 port 15
At time +4.3015s client sent 1024 bytes to 10.1.1.1 port 15
At time +4.30519s server received 1024 bytes from 10.1.1.2 port 49153
At time +4.30519s server sent 1024 bytes to 10.1.1.2 port 49153
At time +4.30887s client received 1024 bytes from 10.1.1.1 port 15
At time +4.32038s client sent 1024 bytes to 10.1.1.1 port 15
At time +4.32406s server received 1024 bytes from 10.1.4.2 port 49153
At time +4.32406s server sent 1024 bytes to 10.1.4.2 port 49153
At time +4.32775s client received 1024 bytes from 10.1.4.1 port 15
At time +4.43883s client sent 1024 bytes to 10.1.1.1 port 15
At time +4.44251s server received 1024 bytes from 10.1.2.2 port 49153
At time +4.44251s server sent 1024 bytes to 10.1.2.2 port 49153
At time +4.4462s client received 1024 bytes from 10.1.2.1 port 15
At time +5.08796s client sent 1024 bytes to 10.1.1.1 port 15
At time +5.09165s server received 1024 bytes from 10.1.3.2 port 49153
At time +5.09165s server sent 1024 bytes to 10.1.3.2 port 49153
At time +5.09533s client received 1024 bytes from 10.1.3.1 port 15
At time +5.15532s client sent 1024 bytes to 10.1.1.1 port 15
At time +5.15901s server received 1024 bytes from 10.1.5.2 port 49153
At time +5.15901s server sent 1024 bytes to 10.1.5.2 port 49153
At time +5.16269s client received 1024 bytes from 10.1.5.1 port 15
At time +5.3015s client sent 1024 bytes to 10.1.1.1 port 15
At time +5.30519s server received 1024 bytes from 10.1.1.2 port 49153
At time +5.30519s server sent 1024 bytes to 10.1.1.2 port 49153
At time +5.30887s client received 1024 bytes from 10.1.1.1 port 15
At time +5.32038s client sent 1024 bytes to 10.1.1.1 port 15
At time +5.32406s server received 1024 bytes from 10.1.4.2 port 49153
At time +5.32406s server sent 1024 bytes to 10.1.4.2 port 49153
At time +5.32775s client received 1024 bytes from 10.1.4.1 port 15
At time +5.43883s client sent 1024 bytes to 10.1.1.1 port 15
At time +5.44251s server received 1024 bytes from 10.1.2.2 port 49153
At time +5.44251s server sent 1024 bytes to 10.1.2.2 port 49153
At time +5.4462s client received 1024 bytes from 10.1.2.1 port 15
